Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,1ppm New Fatty acid Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm New Fatty acid Std,,,Qualifier 1 Results,Qualifier 2 Results
C3-Phenanthrenes,40.191,476,,,,41.126,16,,,,40.166,767,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,106250,,109729,,41.353,7,,,,40.545,7,,17,
DDD,41.882,261993,,161637,,42.041,33,,6,,42.002,28,,12,
Dihexyl phthalate (DHP),42.116,913639,,10667,,43.099,1610,,87,,42.263,975,,1185,
Benzyl butyl phthalate (BBP),42.475,360832,,117583,16007,42.468,218,,101,10,42.470,86,,1350,
Tetracosane (n-C24),42.553,69230,,114743,,42.688,36,,64,,42.345,176,,86,
Bis(2-ethylhexyl) adipate,42.777,462,,504,,42.024,47,,12,,42.355,112,,7,
"p,p'-DDT",42.997,201555,,126410,,43.014,33,,41,,42.924,75,,25,
Triphenyl phosphate,43.305,552,,185,,43.495,12,,8,,44.232,637,,42,
Pentacosane (n-C25),44.183,6159,,,,44.034,2568,,4352,,44.026,2120,,4042,
bis(2-n-Butoxyethyl)phthalate,44.312,127623,,34639,,45.152,63162,,20,,45.154,61036,,3235,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.027,155465,,59300,38555,45.152,1,,,2,44.249,337,,94,73
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.084,156678,,59986,39655,45.152,3,,,8,46.052,59,,,8
Dicyclohexyl phthalate,45.149,1814824,,173587,2537,45.152,63127,,,25,45.154,60944,,6458,541
Bis(2-Ethylhexyl)phthalate (DEHP),45.149,1814749,,173601,7977,45.152,63111,,6693,663,45.154,60949,,6458,440
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.125,356740,,4118178,,45.288,38,,23,,45.019,22,,43,
Benz[a]anthracene,45.349,291505,,20343,,45.335,47,,18,,45.334,20,,,
Chrysene,45.539,277558,,15643,,45.484,16,,11,,45.557,23,,7,
Dronabinol,45.647,122,,,,45.616,136,,,,45.601,121,,159,
Hexacosane (n-C26),45.850,4502,,18464,,45.850,1082,,2133,,45.862,1075,,2895,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.800,120471,,91599,58311,45.596,2,,,4,46.086,293,,106,100
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.430,135270,,57921,38889,45.813,3,,2,15,46.086,293,,106,104
Cannabinol,46.576,2672,,350,,46.616,132,,42,,46.079,19412,,118,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.463,119779,,22396,,47.470,6,,,,47.828,37,,140,
Heptacosane (n-C27),47.270,4582,,11319,,47.264,104,,174,,47.154,1580,,2470,
Di-n-octyl phthalate,48.216,978968,,11743,3125,48.189,1075,,,,48.211,579,,,31
Octacosane (n-C28),48.734,75452,,121402,,48.988,51419,,169759,,48.990,49317,,156217,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.816,90338,,67908,70993,48.911,19,,,,48.977,91,,218,181
Squalene,49.036,7303958,,1380060,4181140,48.988,1546015,,280361,863037,48.990,1453282,,268947,831457
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.155,120159,,43781,45536,48.988,224,,315,232,49.001,187,,218,182
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.765,106197,,50706,52559,48.988,231,,313,233,49.438,158,,16,122
Nonacosane (n-C29),50.141,4586,,8226,,50.198,369,,94,,49.763,87,,200,
Benzo(b)fluoranthene,50.391,342356,,32393,,50.466,28,,13,,50.410,17,,,
Benzo(k)fluoranthenene,50.483,322576,,38068,,50.466,28,,,,50.410,18,,,
Dinonyl phthalate,50.995,922256,,12901,,51.022,17,,7,,51.044,59,,10,
Benzo(e)pyrene,51.523,368467,,30300,,51.415,18,,22,,51.624,43,,21,
Triacontane (n-C30),51.503,76049,,119063,,51.706,92,,121,,51.657,42,,31,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.398,85520,,67896,52132,51.405,16,,11,,50.953,50,,,21
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.561,100385,,43691,46164,51.540,6,,6,16,52.057,9,,15,12
Piperine,52.005,1199,,16,,51.554,92,,12,,51.817,71,,10,
Benzo[a]pyrene,51.784,293255,,31322,,51.886,33,,11,,51.868,14,,11,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.954,110047,,50309,37815,52.432,1,,6,4,52.393,26,,,14
Perylene,52.127,332416,,40106,,52.208,13,,20,,52.139,20,,26,
beta-Tocopherol,52.940,797,,10,,53.014,88,,3,,52.698,17,,,
Hentriacontane (n-C31),52.818,2688,,3075,,53.177,41,,89,,52.518,42,,79,
Methyl Dipentadecyl amine (?),53.004,141,,,,53.011,82,,,,53.040,23,,10,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.333,103820,,35313,27108,53.343,5,,8,,53.809,6,,21,13
Dotriacontane (n-C32),54.119,72537,,110914,,54.190,85,,,,54.118,69,,,
Dihexdecyl amine (?),54.241,51,,,,54.251,11,,,,54.345,19,,6,
Vitamin E (or tocopherol isomer),54.292,339,,91,,54.221,66,,17,,53.792,1576,,26,
Cholesterol,54.363,20,,74,,54.231,24,,17,,54.267,18,,,
Lathosterol,55.078,56,,20,,55.221,13,,17,,55.206,29,,,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.160,86088,,34909,25692,55.360,5,,,26,55.016,7,,22,
Tritriacontane (n-C33),54.953,160,,117,,55.349,102,,45,,55.426,63,,37,
Methyl dihexdecyl amine (?),55.590,25,,14,,55.634,9,,17,,55.599,20,,15,
"Cholesta-3,5-dien-7-one",55.705,51,,12,,55.709,6,,23,,55.673,61,,17,
"Indeno(1,2,3-cd)pyrene",56.203,392673,,71791,,56.203,26,,,,56.317,69,,41,
Cholest-4-en-3-one,56.210,164,,85,,56.183,45,,20,,56.317,27,,24,
Tetratriacontane (n-C34),56.759,64662,,99578,,56.813,37,,,,56.660,33,,109,
beta-Sitosterol,56.946,23,,,,56.939,20,,12,,56.998,15,,7,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,54984,,51519,25233,56.600,14,,,2,57.317,8,,,6
Diheptadecyl amine (?),56.925,1588,,11,,56.963,29,,10,,57.276,60,,6,
"Benzo[g,h,i]perylene",57.295,329361,,39604,,57.264,22,,,,57.236,62,,21,
Pentatriacontane (n-C35),58.349,196,,396,,58.345,33,,54,,58.564,35,,65,
Methyl diheptadecyl amine (?),58.566,3407,,80,,58.596,418,,19,,58.537,3119,,43,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.891,37233,,36137,15001,60.138,5,,,9,60.025,7,,2,
Hexatriacontane (n-C36),60.301,51633,,84166,,60.470,43,,45,,60.367,67,,,
Dioctadecyl amine (?),60.582,15,,7,,60.643,13,,1,,60.553,60,,5,
Methyl dioctadecyl amine (?),62.988,141,,15,,62.907,216,,23,,62.915,344,,14,
Naphthalene-D8,16.485,460057,,45974,,16.492,34,,24,,16.457,25,,15,
Acenaphthene-D10,24.873,263673,,351655,,24.903,12,,41,,24.885,23,,,
Phenanthrene-D10,32.217,562481,,62177,,32.230,34,,20,,32.222,3,,,
Benz(a)anthracene-D12,45.230,608192,,144875,,45.132,5,,4,,45.276,18,,,
Perylene-D12,52.005,349650,,84535,,52.076,22,,27,,51.996,4,,,
